lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L35,練習A,6,1,5,G5,条件形＋辞書形＋ほど,使います,ます形,パソコンは（使います→＿＿／＿＿）ほど上手になります。,使えば｜使う,パソコンは使えば使うほど上手になります。,,"L35, 練習A 6, 1"
L35,練習A,6,2,5,G5,条件形＋原形＋ほど,新しいです,い形容詞,（新しいです→＿＿／＿＿）ほど便利です。,新しければ｜新しい,新しければ新しいほど便利です。,,"L35, 練習A 6, 2"
L35,練習A,6,3,5,G5,なら＋な＋ほど,簡単,な形容詞,操作が（簡単→＿＿／＿＿）ほどいいです。,簡単なら｜簡単な,操作が簡単なら簡単なほどいいです。,,"L35, 練習A 6, 3"
L35,練習B,1,例,5,G1,条件形,なります,ます形,秋に（なります→＿＿）、木の葉の色が変わります。,なれば,秋になれば、木の葉の色が変わります。,,"L35, 練習B 1, 例"
L35,練習B,1,1,5,G1,条件形,できます,ます形,道が（できます→＿＿）、村の生活はもっと便利になります。,できれば,道ができれば、村の生活はもっと便利になります。,,"L35, 練習B 1, 1"
L35,練習B,1,2,5,G1,条件形,急ぎます,ます形,（急ぎます→＿＿）、9時の新幹線に間に合うでしょう。,急げば,急げば、9時の新幹線に間に合うでしょう。,,"L35, 練習B 1, 2"
L35,練習B,1,3,5,G1,条件形,聞きます,ます形,おじいさんに（聞きます→＿＿）、昔のことがわかります。,聞けば,おじいさんに聞けば、昔のことがわかります。,,"L35, 練習B 1, 3"
L35,練習B,1,4,5,G1,条件形,あります,ます形,機会が（あります→＿＿）、アフリカへ行きたいです。,あれば,機会があれば、アフリカへ行きたいです。,,"L35, 練習B 1, 4"
L35,練習B,2,例,5,G2,否定条件形,あります,ます形／否定,許可が（あります→＿＿）、ここでは写真が撮れません。,なければ,許可がなければ、ここでは写真が撮れません。,,"L35, 練習B 2, 例"
L35,練習B,2,1,5,G2,否定条件形,着きます,ます形,あした荷物が（着きます→＿＿）、連絡してください。,着かなければ,あした荷物が着かなければ、連絡してください。,,"L35, 練習B 2, 1"
L35,練習B,2,2,5,G2,否定条件形,話せます,可能動詞ます形,英語が（話せます→＿＿）、海外旅行のとき、困ります。,話せなければ,英語が話せなければ、海外旅行のとき、困ります。,,"L35, 練習B 2, 2"
L35,練習B,2,3,5,G2,否定条件形,します,ます形,ネクタイを（します→＿＿）、あのレストランに入れません。,しなければ,ネクタイをしなければ、あのレストランに入れません。,,"L35, 練習B 2, 3"
L35,練習B,2,4,5,G2,否定条件形,かけます,ます形,眼鏡を（かけます→＿＿）、辞書の字が読めません。,かけなければ,眼鏡をかけなければ、辞書の字が読めません。,,"L35, 練習B 2, 4"
L35,練習B,3,例1,5,G1,条件形,暑いです,い形容詞,（暑いです→＿＿）、エアコンをつけてください。,暑ければ,暑ければ、エアコンをつけてください。,,"L35, 練習B 3, 例1"
L35,練習B,3,例2,5,G3,なら,いい天気,名詞句,あした（いい天気→＿＿）、ハイキングに行きます。,いい天気なら,あしたいい天気なら、ハイキングに行きます。,,"L35, 練習B 3, 例2"
L35,練習B,3,1,5,G1,条件形,正しいです,い形容詞,答えが（正しいです→＿＿）、丸をつけてください。,正しければ,答えが正しければ、丸をつけてください。,,"L35, 練習B 3, 1"
L35,練習B,3,2,5,G1,条件形,いいです,い形容詞,天気が（いいです→＿＿）、屋上から港が見えます。,よければ,天気がよければ、屋上から港が見えます。,いい→よい／よければ,"L35, 練習B 3, 2"
L35,練習B,3,3,5,G3,なら,だめ,な形容詞,この方法が（だめ→＿＿）、あの方法でやりましょう。,だめなら,この方法がだめなら、あの方法でやりましょう。,,"L35, 練習B 3, 3"
L35,練習B,3,4,5,G3,なら,50メートルぐらい,名詞句,（50メートルぐらい→＿＿）、泳げます。,50メートルぐらいなら,50メートルぐらいなら、泳げます。,,"L35, 練習B 3, 4"
L35,練習B,4,例,5,G3,なら,パソコン,名詞,（パソコン→＿＿）、……。,パソコンなら,パソコンなら、パワー電気のがいいですよ。,モデル解答,"L35, 練習B 4, 例"
L35,練習B,4,1,5,G3,なら,スキー,名詞,（スキー→＿＿）、……。,スキーなら,スキーなら、北海道がいいですよ。,モデル解答,"L35, 練習B 4, 1"
L35,練習B,4,2,5,G3,なら,柔道,名詞,（柔道→＿＿）、……。,柔道なら,柔道なら、山下教室がいいですよ。,モデル解答,"L35, 練習B 4, 2"
L35,練習B,4,3,5,G3,なら,日本料理,名詞,（日本料理→＿＿）、……。,日本料理なら,日本料理なら、「母の味」がいいですよ。,モデル解答,"L35, 練習B 4, 3"
L35,練習B,4,4,5,G3,なら,パン屋,名詞,（パン屋→＿＿）、……。,パン屋なら,パン屋なら、「フランス屋」がいいですよ。,モデル解答,"L35, 練習B 4, 4"
L35,練習B,5,例,5,G1,条件形,押します,ます形,（押します→＿＿）、……。,押せば,このボタンを押せば、つきますよ。,モデル解答,"L35, 練習B 5, 例"
L35,練習B,5,1,5,G1,条件形,閉めます,ます形,（閉めます→＿＿）、……。,閉めれば,ふたを閉めれば、動きますよ。,モデル解答,"L35, 練習B 5, 1"
L35,練習B,5,2,5,G1,条件形,押します,ます形,（押します→＿＿）、……。,押せば,白いボタンを押せば、お釣りが出ますよ。,モデル解答,"L35, 練習B 5, 2"
L35,練習B,5,3,6,G1,条件形,回します,ます形,（回します→＿＿）、……。,回せば,このつまみを右に回せば、お湯が熱くなりますよ。,モデル解答,"L35, 練習B 5, 3"
L35,練習B,5,4,6,G1,条件形,触ります,ます形,（触ります→＿＿）、……。,触れば,ドアにちょっと触れば、開きますよ。,モデル解答,"L35, 練習B 5, 4"
L35,練習B,6,例,6,G1,条件形,換えます,ます形,（換えます→＿＿）、……。,換えれば,ええ、電池を換えれば、まだ使えます。,モデル解答,"L35, 練習B 6, 例"
L35,練習B,6,1,6,G2,否定条件形,要ります,ます形／否定,（要ります→＿＿）、……。,要らなければ,ええ、要らなければ、捨ててもいいです。,モデル解答,"L35, 練習B 6, 1"
L35,練習B,6,2,6,G1,条件形,早く元気になりたいです,たい形,（早く元気になりたいです→＿＿）、……。,なりたければ,早く元気になりたければ、薬を飲まなければなりません。,モデル解答,"L35, 練習B 6, 2"
L35,練習B,6,3,6,G1,条件形,悪いです,い形容詞,（悪いです→＿＿）、……。,悪ければ,都合が悪ければ、参加しなくてもいいです。,モデル解答,"L35, 練習B 6, 3"
L35,練習B,6,4,6,G3,なら,簡単な曲,名詞句,（簡単な曲→＿＿）、……。,簡単な曲なら,簡単な曲なら、弾けます。,モデル解答,"L35, 練習B 6, 4"
L35,練習B,7,例,6,G4,ばいいですか,します,ます形,（します→＿＿）いいですか。,すれば,財布を拾ったんですが、どうすればいいですか。,モデル解答,"L35, 練習B 7, 例"
L35,練習B,7,1,6,G4,ばいいですか,します,ます形,（します→＿＿）いいですか。,すれば,電車に忘れ物をしたんですが、どうすればいいですか。,モデル解答,"L35, 練習B 7, 1"
L35,練習B,7,2,6,G4,ばいいですか,言います,ます形,（言います→＿＿）いいですか。,言えば,コピーの紙がないんですが、だれに言えばいいですか。,モデル解答,"L35, 練習B 7, 2"
L35,練習B,7,3,6,G4,ばいいですか,持って行きます,ます形,（持って行きます→＿＿）いいですか。,持って行けば,お葬式に行くんですが、何を持って行けばいいですか。,モデル解答,"L35, 練習B 7, 3"
L35,練習B,7,4,6,G4,ばいいですか,あげます,ます形,（あげます→＿＿）いいですか。,あげれば,友達が結婚するんですが、どんな物をあげればいいですか。,モデル解答,"L35, 練習B 7, 4"
L35,練習B,8,例,6,G5,条件形＋原形＋ほど,新しいです,い形容詞,（新しいです→＿＿／＿＿）ほど……。,新しければ｜新しい,野菜は新しければ新しいほどおいしいです。,モデル解答,"L35, 練習B 8, 例"
L35,練習B,8,1,6,G5,条件形＋原形＋ほど,住みます,ます形,（住みます→＿＿／＿＿）ほど……。,住めば｜住む,東京は住めば住むほどおもしろい町です。,モデル解答,"L35, 練習B 8, 1"
L35,練習B,8,2,6,G5,条件形＋原形＋ほど,聞きます,ます形,（聞きます→＿＿／＿＿）ほど……。,聞けば｜聞く,ビートルズの音楽は聞けば聞くほど好きになります。,モデル解答,"L35, 練習B 8, 2"
L35,練習B,8,3,6,G5,条件形＋原形＋ほど,多いです,い形容詞,（多いです→＿＿／＿＿）ほど……。,多ければ｜多い,給料は多ければ多いほどいいです。,モデル解答,"L35, 練習B 8, 3"
L35,練習B,8,4,6,G5,条件形＋原形＋ほど,簡単,な形容詞,（簡単→＿＿／＿＿）ほど……。,簡単なら｜簡単な,車は操作が簡単なら簡単なほど運転が楽です。,モデル解答,"L35, 練習B 8, 4"
L35,練習C,1,例,6,G1,条件形,なります,ます形,春に（なります→＿＿）、この辺では花見ができますよ。,なれば,春になれば、この辺では花見ができますよ。,,"L35, 練習C 1, 例"
L35,練習C,1,1,6,G1,条件形,なります,ます形,夏に（なります→＿＿）、おもしろい花火が見られますよ。,なれば,夏になれば、おもしろい花火が見られますよ。,,"L35, 練習C 1, 1"
L35,練習C,1,2,6,G1,条件形,なります,ます形,秋に（なります→＿＿）、おいしい果物が食べられますよ。,なれば,秋になれば、おいしい果物が食べられますよ。,,"L35, 練習C 1, 2"
L35,練習C,2,例,6,G2,否定条件形,回します,ます形,左のつまみを（回します→＿＿）、出ませんよ。,回さなければ,左のつまみを回さなければ、出ませんよ。,,"L35, 練習C 2, 例"
L35,練習C,2,1,7,G2,否定条件形,押します,ます形,初めにゼロを（押します→＿＿）、電話がかかりませんよ。,押さなければ,初めにゼロを押さなければ、電話がかかりませんよ。,,"L35, 練習C 2, 1"
L35,練習C,2,2,7,G2,否定条件形,引きます,ます形,横のひもを（引きます→＿＿）、カーテンが閉まりませんよ。,引かなければ,横のひもを引かなければ、カーテンが閉まりませんよ。,,"L35, 練習C 2, 2"
L35,練習C,3,例,7,G3,なら,温泉,名詞,（温泉→＿＿）、白馬がいいですよ。,温泉なら,温泉なら、白馬がいいですよ。,,"L35, 練習C 3, 例"
L35,練習C,3,1,7,G3,なら,スキー,名詞,（スキー→＿＿）、設備がいいです。,スキーなら,スキーなら、設備がいいです。,,"L35, 練習C 3, 1"
L35,練習C,3,2,7,G3,なら,山登り,名詞,（山登り→＿＿）、珍しい花が見られます。,山登りなら,山登りなら、珍しい花が見られます。,,"L35, 練習C 3, 2"
L35,問題,1,1,7,G1,条件形,書きます,ます形,何回も（書きます→＿＿）、覚えられます。,書けば,何回も書けば、覚えられます。,,"L35, 問題 1, 1"
L35,問題,1,2,7,R1,ても,安いです,い形容詞,いいえ、（安いです→＿＿）、買いません。,安くても,いいえ、安くても、買いません。,複習項目,"L35, 問題 1, 2"
L35,問題,1,3,7,G4,ばいいですか,言います,ます形,「初めまして」と（言います→＿＿）いいです。,言えば,「初めまして」と言えばいいです。,,"L35, 問題 1, 3"
L35,問題,1,4,7,G3,なら,パソコン,名詞,（パソコン→＿＿）、パワー電気のがいいです。,パソコンなら,パソコンなら、パワー電気のがいいです。,,"L35, 問題 1, 4"
L35,問題,3,例,7,G1/G2,条件形＋否定条件形,行きます,ます形,（行きます→＿＿／＿＿）,行けば｜行かなければ,行けば／行かなければ,変換練習,"L35, 問題 3, 例"
L35,問題,3,1,7,G1/G2,条件形＋否定条件形,飲みます,ます形,（飲みます→＿＿／＿＿）,飲めば｜飲まなければ,飲めば／飲まなければ,変換練習,"L35, 問題 3, 1"
L35,問題,3,2,7,G1/G2,条件形＋否定条件形,急ぎます,ます形,（急ぎます→＿＿／＿＿）,急げば｜急がなければ,急げば／急がなければ,変換練習,"L35, 問題 3, 2"
L35,問題,3,3,7,G1/G2,条件形＋否定条件形,待ちます,ます形,（待ちます→＿＿／＿＿）,待てば｜待たなければ,待てば／待たなければ,変換練習,"L35, 問題 3, 3"
L35,問題,3,4,7,G1/G2,条件形＋否定条件形,買います,ます形,（買います→＿＿／＿＿）,買えば｜買わなければ,買えば／買わなければ,変換練習,"L35, 問題 3, 4"
L35,問題,3,5,7,G1/G2,条件形＋否定条件形,話します,ます形,（話します→＿＿／＿＿）,話せば｜話さなければ,話せば／話さなければ,変換練習,"L35, 問題 3, 5"
L35,問題,3,6,7,G1/G2,条件形＋否定条件形,食べます,ます形,（食べます→＿＿／＿＿）,食べれば｜食べなければ,食べれば／食べなければ,変換練習,"L35, 問題 3, 6"
L35,問題,3,7,7,G1/G2,条件形＋否定条件形,降ります,ます形,（降ります→＿＿／＿＿）,降りれば｜降りなければ,降りれば／降りなければ,変換練習,"L35, 問題 3, 7"
L35,問題,3,8,7,G1/G2,条件形＋否定条件形,来ます,ます形,（来ます→＿＿／＿＿）,来れば｜来なければ,来れば／来なければ,変換練習,"L35, 問題 3, 8"
L35,問題,3,9,7,G1/G2,条件形＋否定条件形,します,ます形,（します→＿＿／＿＿）,すれば｜しなければ,すれば／しなければ,変換練習,"L35, 問題 3, 9"
L35,問題,3,例-a,7,G1,条件形,暑いです,い形容詞,（暑いです→＿＿）,暑ければ,暑ければ,変換練習,"L35, 問題 3, 例-a"
L35,問題,3,例-b,7,G3,なら,暇,な形容詞,（暇→＿＿）,暇なら,暇なら,変換練習,"L35, 問題 3, 例-b"
L35,問題,3,10,7,G1,条件形,おもしろいです,い形容詞,（おもしろいです→＿＿）,おもしろければ,おもしろければ,変換練習,"L35, 問題 3, 10"
L35,問題,3,11,7,G1,条件形,安いです,い形容詞,（安いです→＿＿）,安ければ,安ければ,変換練習,"L35, 問題 3, 11"
L35,問題,3,12,7,G3,なら,にぎやか,な形容詞,（にぎやか→＿＿）,にぎやかなら,にぎやかなら,変換練習,"L35, 問題 3, 12"
L35,問題,3,13,7,G3,なら,病気,名詞,（病気→＿＿）,病気なら,病気なら,変換練習,"L35, 問題 3, 13"
L35,問題,4,例,7,G1,条件形,修理します,ます形,（修理します→＿＿）,修理すれば,この時計は修理すれば、まだ使えます。,,"L35, 問題 4, 例"
L35,問題,4,1,7,G1,条件形,なります,ます形,（なります→＿＿）,なれば,来週になれば、桜が咲くと思います。,,"L35, 問題 4, 1"
L35,問題,4,2,7,G1,条件形,急ぎます,ます形,（急ぎます→＿＿）,急げば,急げば、次の電車に間に合います。,,"L35, 問題 4, 2"
L35,問題,4,3,7,G2,否定条件形,あります,ます形,（あります→＿＿）,なければ,この仕事は経験がなければ、できません。,,"L35, 問題 4, 3"
L35,問題,4,4,7,G2,否定条件形,閉めます,ます形,（閉めます→＿＿）,閉めなければ,この洗濯機はふたを閉めなければ、動きません。,,"L35, 問題 4, 4"
L35,問題,4,5,7,G1,条件形,安いです,い形容詞,（安いです→＿＿）,安ければ,値段が安ければ、自転車を買います。,,"L35, 問題 4, 5"
L35,問題,4,6,7,G1,条件形,いいです,い形容詞,（いいです→＿＿）,よければ,天気がよければ、富士山が見えます。,,"L35, 問題 4, 6"
L35,問題,4,7,8,G3,なら,暇,名詞／な形容詞,（暇→＿＿）,暇なら,土曜日暇なら、テニスでもしませんか。,,"L35, 問題 4, 7"
L35,問題,4,8,8,G3,なら,新幹線,名詞／な形容詞,（新幹線→＿＿）,新幹線なら,大阪から東京まで新幹線なら、3時間で行けます。,,"L35, 問題 4, 8"
L35,問題,5,例,8,G3,なら,おいしいすし屋,名詞句,（おいしいすし屋→＿＿）、……。,おいしいすし屋なら,おいしいすし屋なら、ホテルの隣にあります。,選択肢組合せ,"L35, 問題 5, 例"
L35,問題,5,1,8,G3,なら,タクシー,名詞句,（タクシー→＿＿）、……。,タクシーなら,タクシーなら、10分ぐらいです。,選択肢組合せ,"L35, 問題 5, 1"
L35,問題,5,2,8,G3,なら,5千円ぐらい,名詞句,（5千円ぐらい→＿＿）、……。,5千円ぐらいなら,5千円ぐらいなら、花瓶はどうですか。,選択肢組合せ,"L35, 問題 5, 2"
L35,問題,5,3,8,G3,なら,30分ぐらい,名詞句,（30分ぐらい→＿＿）、……。,30分ぐらいなら,30分ぐらいなら、待っています。,選択肢組合せ,"L35, 問題 5, 3"
L35,問題,6,例,8,G4,ばいいですか,押します,ます形,疑問詞＋（押します→＿＿）＋いいですか／買えますか。,押せば,ビデオがつかないんですが、どのボタンを押せば、つきますか。,,"L35, 問題 6, 例"
L35,問題,6,1,8,G4,ばいいですか,申し込みます,ます形,疑問詞＋（申し込みます→＿＿）＋いいですか／買えますか。,申し込めば,スキー旅行に参加したいんですが、いつまでに申し込めば、いいですか。,,"L35, 問題 6, 1"
L35,問題,6,2,8,G4,ばいいですか,行きます,ます形,疑問詞＋（行きます→＿＿）＋いいですか／買えますか。,行けば,スペインのワインが欲しいんですが、どこへ行けば、買えますか。,,"L35, 問題 6, 2"
L35,問題,6,3,8,G4,ばいいですか,言います,ます形,疑問詞＋（言います→＿＿）＋いいですか／買えますか。,言えば,コピー機が故障したんですが、だれに言えば、いいですか。,,"L35, 問題 6, 3"
L35,問題,7,例,8,G5,条件形＋原形＋ほど,使います,ます形,（使います→＿＿／＿＿）ほど……。,使えば｜使う,頭は使えば使うほどよくなります。,,"L35, 問題 7, 例"
L35,問題,7,1,8,G5,条件形＋原形＋ほど,勉強します,ます形,（勉強します→＿＿／＿＿）ほど……。,勉強すれば｜勉強する,日本語は勉強すれば勉強するほどおもしろくなります。,,"L35, 問題 7, 1"
L35,問題,7,2,8,G5,条件形＋原形＋ほど,早いです,い形容詞,（早いです→＿＿／＿＿）ほど……。,早ければ｜早い,電車は朝早ければ早いほどすいています。,,"L35, 問題 7, 2"
L35,問題,7,3,8,G5,条件形＋原形＋ほど,新しいです,い形容詞,（新しいです→＿＿／＿＿）ほど……。,新しければ｜新しい,魚は新しければ新しいほどおいしいです。,,"L35, 問題 7, 3"
L35,問題,8,タイトル,8,G1,条件形,交わります,ます形,朱に（交わります→＿＿）、赤くなる。,交われば,朱に交われば赤くなる。,ことわざ,"L35, 問題 8, タイトル"
L35,問題,8,本文1,8,G1,条件形,仲よくします,ます形,いい友達と（仲よくします→＿＿）、いい人になります。,仲よくすれば,いい友達と仲よくすれば、いい人になります。,,"L35, 問題 8, 本文1"
L35,問題,8,1,8,G2,否定条件形,選びます,ます形,いい友達を（選びます→＿＿）なりません。,選ばなければ,いい友達を選ばなければなりません。,,"L35, 問題 8, 1"
