lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L37,ことば,24,泥棒,どろぼう,名詞,小偷；強盜,,"L37, ことば, 24"
L37,ことば,25,警官,けいかん,名詞,警察,,"L37, ことば, 25"
L37,ことば,26,建築家,けんちくか,名詞,建築師,,"L37, ことば, 26"
L37,ことば,27,科学者,かがくしゃ,名詞,科學家,,"L37, ことば, 27"
L37,ことば,28,漫画,まんが,名詞,漫畫,,"L37, ことば, 28"
L37,ことば,29,世界中,せかいじゅう,名詞,全世界,,"L37, ことば, 29"
L37,ことば,30,～中,～じゅう,接尾辭,～中（範圍）,,"L37, ことば, 30"
L37,ことば,31,～によって,～によって,助詞,根據～；由～,,"L37, ことば, 31"
L37,ことば,32,よかったですね。,よかったですね。,慣用表現,太好了；太棒了。,,"L37, ことば, 32"
L37,ことば,33,ドミニカ,ドミニカ,地名,多明尼加,,"L37, ことば, 33"
L37,ことば,34,ライト兄弟,ライトきょうだい,人名,萊特兄弟（美國航空先驅；韋伯·萊特1867-1912／奧韋爾·萊特1871-1948）,,"L37, ことば, 34"
L37,ことば,35,源氏物語,げんじものがたり,作品名,源氏物語（日本古典小說）,,"L37, ことば, 35"
L37,ことば,36,紫式部,むらさきしきぶ,人名,紫式部（9世紀平安時代的女作家，973-1014?）,,"L37, ことば, 36"
L37,ことば,37,グラハム・ベル,グラハム・ベル,人名,格拉漢姆·貝爾（美國發明家，1847-1922）,,"L37, ことば, 37"
L37,ことば,38,東照宮,とうしょうぐう,地名,東照宮（栃木縣祭祀德川家康的神社）,,"L37, ことば, 38"
L37,ことば,39,江戸時代,えどじだい,時代名,江戶時代（1603-1868）,,"L37, ことば, 39"
L37,ことば,40,サウジアラビア,サウジアラビア,地名,沙烏地阿拉伯,,"L37, ことば, 40"
L37,会話語彙,,埋め立てます,うめたてます,動詞Ⅱ,填拓,,"L37, 会話語彙, p.2"
L37,会話語彙,,技術,ぎじゅつ,名詞,技術,,"L37, 会話語彙, p.2"
L37,会話語彙,,土地,とち,名詞,土地,,"L37, 会話語彙, p.2"
L37,会話語彙,,騒音,そうおん,名詞,噪音,,"L37, 会話語彙, p.2"
L37,会話語彙,,利用します,りようします,動詞Ⅲ,利用；用,,"L37, 会話語彙, p.2"
L37,会話語彙,,アクセス,アクセス,名詞,去；進入,,"L37, 会話語彙, p.2"
L37,読み物語彙,,…世紀,…せいき,名詞,…世紀,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,豪華,ごうか,な形容詞,豪華的,原文為 豪華［な］；［な］未作為單詞抽出,"L37, 読み物語彙, p.2"
L37,読み物語彙,,彫刻,ちょうこく,名詞,彫刻,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,眠ります,ねむります,動詞Ⅰ,睡,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,彫ります,ほります,動詞Ⅰ,彫刻,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,仲間,なかま,名詞,朋友；友人,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,そのあと,そのあと,慣用表現,之後；然後,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,一生懸命,いっしょうけんめい,副詞,拼命,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,ねずみ,ねずみ,名詞,老鼠,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,一匹もいません。,いっぴきもいません。,慣用表現,一隻也沒有。,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,眠り猫,ねむりねこ,作品名,熟睡的貓（東照宮著名彫刻）,,"L37, 読み物語彙, p.2"
L37,読み物語彙,,左甚五郎,ひだりじんごろう,人名,左甚五郎（日本江戶時代的著名工匠，1594-1651）,,"L37, 読み物語彙, p.2"
