lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L34,練習A,1,1-4,4,G2,名詞のとおりに,説明書,名詞,この（説明書→＿＿）とおりに、パソコンのキーを押してください。,説明書の,この説明書のとおりに、パソコンのキーを押してください。,,"L34, 練習A 1, 1-4"
L34,練習A,2,2-1,4,G3,たあとで,終わります,ます形,仕事が（終わります→＿＿）あとで、飲みに行きます。,終わった,仕事が終わったあとで、飲みに行きます。,,"L34, 練習A 2, 2-1"
L34,練習A,2,2-2,4,G3,たあとで,聞きます,ます形,説明を（聞きます→＿＿）あとで、質問します。,聞いた,説明を聞いたあとで、質問します。,,"L34, 練習A 2, 2-2"
L34,練習A,2,2-3,4,G3,たあとで,スポーツ,名詞,（スポーツ→＿＿）あとで、シャワーを浴びます。,スポーツの,スポーツのあとで、シャワーを浴びます。,,"L34, 練習A 2, 2-3"
L34,練習A,2,2-4,4,G3,たあとで,食事,名詞,（食事→＿＿）あとで、コーヒーを飲みます。,食事の,食事のあとで、コーヒーを飲みます。,,"L34, 練習A 2, 2-4"
L34,練習A,3,3-1,4,G4,てで／ないで,持ちます,ます形,傘を（持ちます→＿＿）出かけます。,持って,傘を持って出かけます。,,"L34, 練習A 3, 3-1"
L34,練習A,3,3-2,4,G4,てで／ないで,食べます,ます形,朝ごはんを（食べます→＿＿）会社へ行きます。,食べて,朝ごはんを食べて会社へ行きます。,,"L34, 練習A 3, 3-2"
L34,練習A,3,3-3,4,G4,てで／ないで,持ちます,ます形／ない,傘を（持ちます→＿＿）出かけます。,持たないで,傘を持たないで出かけます。,,"L34, 練習A 3, 3-3"
L34,練習A,3,3-4,4,G4,てで／ないで,食べます,ます形／ない,朝ごはんを（食べます→＿＿）会社へ行きます。,食べないで,朝ごはんを食べないで会社へ行きます。,,"L34, 練習A 3, 3-4"
L34,練習A,4,4-1,4,G5,ないで,行きます,ます形／ない,日曜日どこも（行きます→＿＿）、うちにいます。,行かないで,日曜日どこも行かないで、うちにいます。,,"L34, 練習A 4, 4-1"
L34,練習A,4,4-2,4,G5,ないで,乗ります,ます形／ない,エレベーターに（乗ります→＿＿）、階段を使います。,乗らないで,エレベーターに乗らないで、階段を使います。,,"L34, 練習A 4, 4-2"
L34,練習A,4,4-3,4,G5,ないで,します,ます形／ない,仕事を（します→＿＿）、遊んでいます。,しないで,仕事をしないで、遊んでいます。,,"L34, 練習A 4, 4-3"
L34,練習B,1,例,4,G1,動詞とおりに,言います,ます形,さっき（言います→＿＿）とおりに、いすを並べてください。,言った,さっき言ったとおりに、いすを並べてください。,,"L34, 練習B 1, 例"
L34,練習B,1,1,4,G1,動詞とおりに,します,ます形,わたしが（します→＿＿）とおりに、やってください。,する,わたしがするとおりに、やってください。,,"L34, 練習B 1, 1"
L34,練習B,1,2,4,G1,動詞とおりに,習います,ます形,母に（習います→＿＿）とおりに、料理を作りました。,習った,母に習ったとおりに、料理を作りました。,,"L34, 練習B 1, 2"
L34,練習B,1,3,4,G1,動詞とおりに,教えてもらいます,ます形,歯医者に（教えてもらいます→＿＿）とおりに、歯を磨いています。,教えてもらった,歯医者に教えてもらったとおりに、歯を磨いています。,,"L34, 練習B 1, 3"
L34,練習B,1,4,4,G1,動詞とおりに,書いてあります,ます形,説明書に（書いてあります→＿＿）とおりに、この薬を飲んでください。,書いてある,説明書に書いてあるとおりに、この薬を飲んでください。,,"L34, 練習B 1, 4"
L34,練習B,2,例,4,G2,名詞のとおりに,番号,名詞,（番号→＿＿）とおりに、ボタンを押してください。,番号の,番号のとおりに、ボタンを押してください。,,"L34, 練習B 2, 例"
L34,練習B,2,1,4,G2,名詞のとおりに,矢印,名詞,（矢印→＿＿）とおりに、行きます。,矢印の,矢印のとおりに、行きます。,モデル解答,"L34, 練習B 2, 1"
L34,練習B,2,2,4,G2,名詞のとおりに,線,名詞,（線→＿＿）とおりに、紙を切ります。,線の,線のとおりに、紙を切ります。,モデル解答,"L34, 練習B 2, 2"
L34,練習B,2,3,4,G2,名詞のとおりに,図,名詞,（図→＿＿）とおりに、紙を折ります。,図の,図のとおりに、紙を折ります。,モデル解答,"L34, 練習B 2, 3"
L34,練習B,2,4,5,G2,名詞のとおりに,説明書,名詞,（説明書→＿＿）とおりに、家具を組み立てます。,説明書の,説明書のとおりに、家具を組み立てます。,モデル解答,"L34, 練習B 2, 4"
L34,練習B,3,例1,5,G3,たあとで,見学します,ます形,学校の中を（見学します→＿＿）あとで、質問しました。,見学した,学校の中を見学したあとで、質問しました。,,"L34, 練習B 3, 例1"
L34,練習B,3,例2,5,G3,たあとで,映画,名詞,（映画→＿＿）あとで、彼女と海を見に行きました。,映画の,映画のあとで、彼女と海を見に行きました。,,"L34, 練習B 3, 例2"
L34,練習B,3,1,5,G3,たあとで,運動します,ます形,（運動します→＿＿）あとで、ビールを飲みました。,運動した,運動したあとで、ビールを飲みました。,,"L34, 練習B 3, 1"
L34,練習B,3,2,5,G3,たあとで,買います,ます形,新しいのを（買います→＿＿）あとで、なくした時計が見つかりました。,買った,新しいのを買ったあとで、なくした時計が見つかりました。,,"L34, 練習B 3, 2"
L34,練習B,3,3,5,G3,たあとで,コンサート,名詞,（コンサート→＿＿）あとで、食事をしましょう。,コンサートの,コンサートのあとで、食事をしましょう。,,"L34, 練習B 3, 3"
L34,練習B,3,4,5,G3,たあとで,ジョギング,名詞,（ジョギング→＿＿）あとで、シャワーを浴びます。,ジョギングの,ジョギングのあとで、シャワーを浴びます。,,"L34, 練習B 3, 4"
L34,練習B,4,例,5,G3,たあとで,降ります,ます形,いつ忘れ物に気がつきましたか。…バスを（降ります→＿＿）あとで、気がつきました。,降りた,バスを降りたあとで、気がつきました。,,"L34, 練習B 4, 例"
L34,練習B,4,1,5,G3,たあとで,終わります,ます形,いつサッカーの練習をしますか。…土曜日仕事が（終わります→＿＿）あとで、します。,終わった,土曜日仕事が終わったあとでします。,モデル解答,"L34, 練習B 4, 1"
L34,練習B,4,2,5,G3,たあとで,入ります,ます形,すぐ食事をしますか。…いいえ、おふろに（入ります→＿＿）あとで、します。,入った,いいえ、おふろに入ったあとで、します。,モデル解答,"L34, 練習B 4, 2"
L34,練習B,4,3,5,G3,たあとで,講義,名詞,いつタワポンさんに会いますか。…（講義→＿＿）あとで、会います。,講義の,講義のあとで、会います。,モデル解答,"L34, 練習B 4, 3"
L34,練習B,4,4,5,G3,たあとで,昼ごはん,名詞,すぐ出かけますか。…いいえ、（昼ごはん→＿＿）あとで、出かけます。,昼ごはんの,いいえ、昼ごはんのあとで、出かけます。,モデル解答,"L34, 練習B 4, 4"
L34,練習B,5,例,5,G4,てで／ないで,かけます,ます形／ない,眼鏡を（かけます→＿＿）本を読みます。,かけないで,眼鏡をかけないで本を読みます。,,"L34, 練習B 5, 例"
L34,練習B,5,1,5,G4,てで／ないで,かけます,ます形／ない,眼鏡を（かけます→＿＿）本を読みます。,かけないで,眼鏡をかけないで本を読みます。,絵問題 モデル解答,"L34, 練習B 5, 1"
L34,練習B,5,2,5,G4,てで／ないで,シートベルトをします,ます形／ない,（シートベルトをします→＿＿）車を運転します。,シートベルトをしないで,シートベルトをしないで車を運転します。,絵問題 モデル解答,"L34, 練習B 5, 2"
L34,練習B,5,3,5,G4,てで／ないで,かぎをかけます,ます形／ない,（かぎをかけます→＿＿）出かけます。,かぎをかけないで,かぎをかけないで出かけます。,絵問題 モデル解答,"L34, 練習B 5, 3"
L34,練習B,5,4,5,G4,てで／ないで,つけます,ます形／ない,しょうゆを（つけます→＿＿）食べます。,つけないで,しょうゆをつけないで食べます。,絵問題 モデル解答,"L34, 練習B 5, 4"
L34,練習B,5,5,5,G4,てで／ないで,シャワーを浴びます,ます形／ない,（シャワーを浴びます→＿＿）寝ます。,シャワーを浴びないで,シャワーを浴びないで寝ます。,絵問題 モデル解答,"L34, 練習B 5, 5"
L34,練習B,6,例,5,G5,ないで,寝ます,ます形／ない,ゆうべは（寝ます→＿＿）、彼女に長い手紙を書きました。,寝ないで,ゆうべは寝ないで、彼女に長い手紙を書きました。,,"L34, 練習B 6, 例"
L34,練習B,6,1,5,G5,ないで,乗ります,ます形／ない,いつもバスに（乗ります→＿＿）、駅まで歩いて行きます。,乗らないで,いつもバスに乗らないで、駅まで歩いて行きます。,,"L34, 練習B 6, 1"
L34,練習B,6,2,5,G5,ないで,買います,ます形／ない,ケーキは（買います→＿＿）、自分で作ります。,買わないで,ケーキは買わないで、自分で作ります。,,"L34, 練習B 6, 2"
L34,練習B,6,3,5,G5,ないで,捨てます,ます形／ない,テレホンカードは（捨てます→＿＿）、集めています。,捨てないで,テレホンカードは捨てないで、集めています。,,"L34, 練習B 6, 3"
L34,練習B,6,4,6,G5,ないで,行きます,ます形／ない,きのうはどこも（行きます→＿＿）、うちでビデオを見ました。,行かないで,きのうはどこも行かないで、うちでビデオを見ました。,,"L34, 練習B 6, 4"
L34,練習C,1,例,6,G1,動詞とおりに,書いてあります,ます形,料理の本に（書いてあります→＿＿）とおりに作ったんですが……。,書いてある,料理の本に書いてあるとおりに作ったんですが……。,,"L34, 練習C 1, 例"
L34,練習C,1,1,6,G1,動詞とおりに,教えてもらいます,ます形,カレーは友達に（教えてもらいます→＿＿）とおりに作ったんですが……。,教えてもらった,カレーは友達に教えてもらったとおりに作ったんですが……。,モデル解答,"L34, 練習C 1, 1"
L34,練習C,1,2,6,G1,動詞とおりに,見ます,ます形,ケーキはテレビの料理番組で（見ます→＿＿）とおりに作ったんですが……。,見た,ケーキはテレビの料理番組で見たとおりに作ったんですが……。,モデル解答,"L34, 練習C 1, 2"
L34,練習C,2,例,6,G3,たあとで,終わります,ます形,会議が（終わります→＿＿）あとで、見ます。,終わった,会議が終わったあとで、見ます。,,"L34, 練習C 2, 例"
L34,練習C,2,1,6,G3,たあとで,帰ります,ます形,お客さんが（帰ります→＿＿）あとで、見ます。,帰った,お客さんが帰ったあとで、見ます。,モデル解答,"L34, 練習C 2, 1"
L34,練習C,2,2,6,G3,たあとで,食べます,ます形,昼ごはんを（食べます→＿＿）あとで、見ます。,食べた,昼ごはんを食べたあとで、見ます。,モデル解答,"L34, 練習C 2, 2"
L34,練習C,3,例,6,G5,ないで,出かけます,ます形／ない,どこも（出かけます→＿＿）、ゆっくり休もうと思っています。,出かけないで,どこも出かけないで、ゆっくり休もうと思っています。,,"L34, 練習C 3, 例"
L34,練習C,3,1,6,G5,ないで,します,ます形／ない,何も（します→＿＿）、ゆっくり休もうと思っています。,しないで,何もしないで、ゆっくり休もうと思っています。,モデル解答,"L34, 練習C 3, 1"
L34,練習C,3,2,6,G5,ないで,行きます,ます形／ない,どこも（行きます→＿＿）、ゆっくり休もうと思っています。,行かないで,どこも行かないで、ゆっくり休もうと思っています。,モデル解答,"L34, 練習C 3, 2"
L34,問題,3,例,7,G1,動詞とおりに,説明します,ます形,わたしが（説明します→＿＿）とおりに、箱を組み立ててください。,説明した,わたしが説明したとおりに、箱を組み立ててください。,,"L34, 問題 3, 例"
L34,問題,3,1,7,G1,動詞とおりに,書きます,ます形,わたしが（書きます→＿＿）とおりに、書いてください。,書いた,わたしが書いたとおりに、書いてください。,,"L34, 問題 3, 1"
L34,問題,3,2,7,G1,動詞とおりに,言います,ます形,今からわたしが（言います→＿＿）とおりに、言ってください。,言う,今からわたしが言うとおりに、言ってください。,,"L34, 問題 3, 2"
L34,問題,3,3,7,G2,名詞のとおりに,線,名詞,この（線→＿＿）とおりに、切ってください。,線の,この線のとおりに、切ってください。,,"L34, 問題 3, 3"
L34,問題,3,4,7,G2,名詞のとおりに,番号,名詞,（番号→＿＿）とおりに、押してください。,番号の,番号のとおりに、押してください。,,"L34, 問題 3, 4"
L34,問題,4,例,7,G3,たあとで,ジョギングをします,ます形,（ジョギングをします→＿＿）あとで、シャワーを浴びました。,ジョギングをした,ジョギングをしたあとで、シャワーを浴びました。,,"L34, 問題 4, 例"
L34,問題,4,1,7,G3,たあとで,食事をします,ます形,（食事をします→＿＿）あとで、コンサートに行きました。,食事をした,食事をしたあとで、コンサートに行きました。,,"L34, 問題 4, 1"
L34,問題,4,2,7,R1,てから,日本へ来ます,ます形,（日本へ来ます→＿＿）から、日本語を習いました。,日本へ来て,日本へ来てから、日本語を習いました。,複習項目,"L34, 問題 4, 2"
L34,問題,4,3,7,G3,たあとで,仕事をします,ます形,（仕事をします→＿＿）あとで、ビールを飲みました。,仕事の／仕事をした,仕事のあとで／仕事をしたあとで、ビールを飲みました。,,"L34, 問題 4, 3"
L34,問題,4,4,7,R2,まえに,寝ます,ます形,（寝ます→＿＿）まえに、手紙を書きました。,寝る,寝るまえに、手紙を書きました。,複習項目,"L34, 問題 4, 4"
L34,問題,5,例,7,G5,ないで,休みます,ます形／ない,あしたは会社を休みますか。…いいえ、（休みます→＿＿）、働きます。,休まないで,いいえ、休まないで、働きます。,,"L34, 問題 5, 例"
L34,問題,5,1,7,G5,ないで,行きます,ます形／ない,週末はどこか行きますか。…いいえ、どこも（行きます→＿＿）、うちで本を読みます。,行かないで,いいえ、どこも行かないで、うちで本を読みます。,,"L34, 問題 5, 1"
L34,問題,5,2,7,G5,ないで,帰ります,ます形／ない,ことしの夏休みは国へ帰りますか。…いいえ、国へ（帰ります→＿＿）、北海道を旅行します。,帰らないで,いいえ、国へ帰らないで、北海道を旅行します。,,"L34, 問題 5, 2"
L34,問題,5,3,7,G5,ないで,買います,ます形／ない,デパートで何か買いましたか。…いいえ、何も（買います→＿＿）、すぐ帰りました。,買わないで,いいえ、何も買わないで、すぐ帰りました。,,"L34, 問題 5, 3"
L34,問題,5,4,7,G5,ないで,出かけます,ます形／ない,日曜日は出かけましたか。…いいえ、（出かけます→＿＿）、レポートをまとめました。,出かけないで,いいえ、出かけないで、レポートをまとめました。,,"L34, 問題 5, 4"
L34,問題,6,例,7,G4,ないで／ながら／ても,食べます,選択肢,朝ごはんを（①食べて／②食べないで／③食べながら）来ましたから、おなかがすきました。,②食べないで,朝ごはんを食べないで来ましたから、おなかがすきました。,選択問題,"L34, 問題 6, 例"
L34,問題,6,1,7,G4,ないで,持ちます,選択肢,財布を（①持って／②持たないで／③持ったら）出かけましたから、何も買えませんでした。,②持たないで,財布を持たないで出かけましたから、何も買えませんでした。,選択問題,"L34, 問題 6, 1"
L34,問題,6,2,7,R3,ながら,話します,選択肢,みんなと（①話して／②話すと／③話しながら）食事します。,③話しながら,みんなと話しながら食事します。,選択問題,"L34, 問題 6, 2"
L34,問題,6,3,7,R4,て,します,選択肢,ネクタイを（①して／②しながら／③すると）パーティーに出席します。,①して,ネクタイをしてパーティーに出席します。,選択問題,"L34, 問題 6, 3"
L34,問題,6,4,7,G4,ないで,押します,選択肢,ボタンを（①押しても／②押して／③押さないで）、お釣りが出ません。,③押さないで,ボタンを押さないで、お釣りが出ません。,選択問題,"L34, 問題 6, 4"
L34,問題,7,1,8,G2,名詞のとおりに,1,名詞,鳥肉、たまねぎを切ります。切り方は（1→＿＿）とおりです。,1の,鳥肉、たまねぎを切ります。切り方は1のとおりです。,読み物 親子どんぶり,"L34, 問題 7, 1"
L34,問題,7,2,8,G3,たあとで,入れます,ます形,卵を（入れます→＿＿）あとで、火を消します。,入れた,卵を入れたあとで、火を消します。,読み物,"L34, 問題 7, 2"
